ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER
35342-20020816,1256593,32811,1
1358463-20051116,1639294,262311,29
1980233-20090722,1980233,345008,1
1476582-20040211,1476582,273121,1
1141408-20080516,1896750,213785,1
2129534-20111129,2129534,368042,1
1275083-20040216,1455178,36211,2
1223497-20030816,1375248,230124,1
1222096-20020124,1222096,223263,1
1197714-20020809,1197714,86252,3
1170778-20070216,1786681,218856,1
63919-20060516,1688318,59120,1
1169798-20070816,1833914,218344,1
18119-20111116,2116694,51939,1
2021731-20120216,2131691,204038,2
2069863-20111116,2118846,329873,2
20472-20070816,1831178,63300,29
16569-20050216,1558325,51754,1
46988-20060216,1651735,6424,2
1249744-20090316,1951592,249908,1
1801162-20071116,1851494,18498,5
35521-20040216,1450482,15077,1
25897-20080116,1875693,4791,5
1043605-20040216,1517555,202466,1
24413-20020216,1204647,30039,1
86138-20020216,1213974,66770,2
1225567-20040216,1464143,243196,1
64098-20041116,1528904,42675,1
1447474-20040216,1469918,271046,1
35164-20070216,1775292,14996,2
1250162-20050216,1565830,250140,1
2041697-20100616,2041697,354118,1
1337432-20120216,2131994,260686,1
9717-20020516,1237356,26176,1
11590-20080316,1885461,5453,1
1329654-20050216,1555618,33058,2
1573623-20060216,1671880,286310,1
1443403-20040216,1469569,269000,1
1768706-20061031,1768706,310965,1
1479862-20040728,1479862,248389,1
1803981-20090416,1958106,315194,1
1992265-20130916,2276154,347148,1
53295-20060216,1660559,57155,1
79392-20070516,1809423,48388,1
2017463-20101016,2053799,350550,1
2059398-20100922,2059398,356602,1
1740880-20110816,2101590,307933,1
1928059-20160216,2440726,336730,1
1352598-20050216,1559391,57148,3
1490076-20050816,1619778,252564,2
2202275-20121121,2202275,377204,1
22064-20061116,1748918,29432,1
1223766-20030216,1326128,230233,1
1622235-20050908,1622235,295725,1
1070396-20041116,1534146,206056,1
2048275-20100716,2048275,355092,1
2204106-20121227,2204106,377901,1
75123-20050216,1552924,22385,1
2179576-20120808,2179576,374700,1
1873288-20071026,1873288,323555,1
1276754-20040216,1465535,253084,1
35551-20040216,1457869,54266,2
1488117-20050609,1488117,15383,2
50338-20070216,1784167,81550,1
1621650-20060216,1674340,295455,1
2147378-20140416,2313277,371105,1
1271123-20020709,1271123,250526,1
1446607-20040116,1446607,270621,1
60554-20030216,1309297,19083,2
71082-20040216,1458941,60577,1
21502-20040816,1413050,29273,1
71200-20110416,2080829,45351,1
66143-20030216,1309648,20442,1
1425721-20070516,1810932,66086,3
1476207-20041116,1540444,273028,1
2189479-20120926,2189479,375968,1
1520371-20040922,1520371,281746,1
1577933-20070216,1792670,288155,1
1243066-20060216,1666086,245491,1
2189448-20120926,2189448,375958,1
77833-20030216,1310243,22930,1
2152575-20121116,2188493,357374,3
1141678-20120416,2139917,213959,1
1737323-20060627,1737323,306204,1
1717711-20120116,2127937,305310,1
1823072-20130616,2250288,318856,1
21357-20060216,1659676,52330,1
1740954-20100816,2040417,307959,1
46862-20060216,1657718,36353,1
32530-20031116,1426797,3518,2
2036407-20120316,2136758,350061,1
8053-20040216,1452626,25786,1
1330604-20040216,1466345,257484,1
